,intolerance_1,intolerance_2,minority_pc_1,minority_pc_2,Run,Avg pct similar neighbors (A) dim 1,Avg pct similar neighbors (A) dim 2,Avg pct similar neighbors (B) dim 1,Avg pct similar neighbors (B) dim 2,Pct Happy,Pct Happy Group A dim 1,Pct Happy Group A dim 2,Pct Happy Group B dim 1,Pct Happy Group B dim 2,height,width,num_agents,stopping_level
39,0.125,0.125,0.4,0.4,39,100.0,61.1,38.9,38.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
40,0.125,0.125,0.5,0.5,40,100.0,52.2,53.4,50.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
41,0.125,0.125,0.5,0.5,41,100.0,53.1,47.4,51.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
42,0.125,0.125,0.5,0.5,42,100.0,48.4,50.3,47.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
43,0.125,0.125,0.5,0.5,43,100.0,50.2,50.9,51.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
44,0.125,0.125,0.5,0.5,44,100.0,51.7,52.2,54.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
45,0.125,0.125,0.5,0.5,45,100.0,52.4,48.0,51.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
46,0.125,0.125,0.5,0.5,46,100.0,49.4,46.9,50.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
47,0.125,0.125,0.5,0.5,47,100.0,53.7,52.6,54.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
48,0.125,0.125,0.5,0.5,48,100.0,52.3,48.6,49.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
49,0.125,0.125,0.5,0.5,49,100.0,55.8,54.4,56.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
50,0.125,0.25,0.1,0.1,50,100.0,91.0,21.3,31.4,98.5,99.4,100.0,90.0,85.0,16,16,200,1
51,0.125,0.25,0.1,0.1,51,100.0,91.4,23.4,34.7,97.5,98.3,100.0,90.0,75.0,16,16,200,1
52,0.125,0.25,0.1,0.1,52,100.0,91.3,28.8,32.2,98.0,98.9,100.0,90.0,80.0,16,16,200,1
53,0.125,0.25,0.1,0.1,53,100.0,91.0,19.7,23.6,97.0,97.8,100.0,90.0,70.0,16,16,200,1
54,0.125,0.25,0.1,0.1,54,100.0,92.2,23.8,42.8,98.5,99.4,100.0,90.0,85.0,16,16,200,1
55,0.125,0.25,0.1,0.1,55,100.0,90.9,25.4,34.0,99.0,99.4,100.0,95.0,90.0,16,16,200,1
56,0.125,0.25,0.1,0.1,56,100.0,92.8,23.4,43.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
57,0.125,0.25,0.1,0.1,57,100.0,91.9,22.5,33.6,97.5,98.3,100.0,90.0,75.0,16,16,200,1
58,0.125,0.25,0.1,0.1,58,100.0,90.4,22.5,28.3,97.0,98.9,100.0,80.0,70.0,16,16,200,1
59,0.125,0.25,0.1,0.1,59,100.0,91.8,21.4,39.5,99.0,100.0,100.0,90.0,90.0,16,16,200,1
60,0.125,0.25,0.2,0.2,60,100.0,83.8,33.1,47.3,99.5,100.0,100.0,97.5,97.5,16,16,200,1
61,0.125,0.25,0.2,0.2,61,100.0,82.6,31.6,43.1,99.5,100.0,100.0,97.5,97.5,16,16,200,1
62,0.125,0.25,0.2,0.2,62,100.0,83.1,27.7,41.6,100.0,100.0,100.0,100.0,100.0,16,16,200,1
63,0.125,0.25,0.2,0.2,63,100.0,81.4,29.9,39.2,99.5,100.0,100.0,97.5,97.5,16,16,200,1
64,0.125,0.25,0.2,0.2,64,100.0,82.1,41.0,43.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
65,0.125,0.25,0.2,0.2,65,100.0,85.1,32.9,50.0,99.5,100.0,100.0,97.5,97.5,16,16,200,1
66,0.125,0.25,0.2,0.2,66,100.0,83.7,23.5,44.1,99.0,100.0,100.0,95.0,95.0,16,16,200,1
67,0.125,0.25,0.2,0.2,67,100.0,83.2,26.6,41.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
68,0.125,0.25,0.2,0.2,68,100.0,82.8,30.2,45.8,99.5,100.0,100.0,97.5,97.5,16,16,200,1
69,0.125,0.25,0.2,0.2,69,100.0,84.4,30.0,49.4,99.0,100.0,100.0,95.0,95.0,16,16,200,1
70,0.125,0.25,0.30000000000000004,0.30000000000000004,70,100.0,75.1,36.2,49.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
71,0.125,0.25,0.30000000000000004,0.30000000000000004,71,100.0,72.6,32.8,45.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
72,0.125,0.25,0.30000000000000004,0.30000000000000004,72,100.0,74.6,32.5,46.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
73,0.125,0.25,0.30000000000000004,0.30000000000000004,73,100.0,77.5,41.4,56.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
74,0.125,0.25,0.30000000000000004,0.30000000000000004,74,100.0,75.7,33.6,52.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
75,0.125,0.25,0.30000000000000004,0.30000000000000004,75,100.0,74.7,32.5,47.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
